trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
2,0,10000,18,0.107005,0.119546,0.339999,
2,10,20000,45,0.107447,0.119802,0.341849,
2,20,30000,64,0.107836,0.120040,0.341849,
2,30,40000,83,0.108239,0.120312,0.345404,
2,40,50000,105,0.108661,0.120597,0.355302,
2,50,60000,126,0.109133,0.120851,0.355302,
2,60,70000,150,0.109513,0.121085,0.355302,
2,70,80000,172,0.109865,0.121318,0.355302,
2,80,90000,193,0.110216,0.121531,0.355302,
2,90,100000,215,0.110630,0.121793,0.355302,
2,100,110000,238,0.111026,0.122060,0.355302,
2,110,120000,264,0.111419,0.122292,0.355302,
2,120,130000,287,0.111915,0.122536,0.355302,
2,130,140000,306,0.112313,0.122759,0.355302,
2,140,150000,330,0.112766,0.122969,0.355302,
2,150,160000,353,0.113177,0.123220,0.355302,
2,160,170000,372,0.113650,0.123478,0.355302,
2,170,180000,390,0.114059,0.123704,0.355302,
2,180,190000,411,0.114438,0.123894,0.355302,
2,190,200000,431,0.114844,0.124145,0.376009,
2,200,210000,457,0.115328,0.124380,0.376009,
2,210,220000,476,0.115740,0.124611,0.376009,
2,220,230000,498,0.116095,0.124825,0.376009,
2,230,240000,521,0.116458,0.125017,0.376009,
2,240,250000,540,0.116868,0.125237,0.376009,
2,250,260000,565,0.117333,0.125471,0.376009,
2,260,270000,585,0.117743,0.125695,0.376009,
2,270,280000,608,0.118146,0.125887,0.376009,
2,280,290000,634,0.118525,0.126101,0.376009,
2,290,300000,653,0.118986,0.126317,0.376009,
2,300,310000,674,0.119523,0.126544,0.376009,
2,310,320000,692,0.119870,0.126726,0.376009,
2,320,330000,718,0.120366,0.126954,0.376009,
2,330,340000,741,0.120797,0.127153,0.376009,
2,340,350000,765,0.121204,0.127352,0.376009,
2,350,360000,785,0.121558,0.127508,0.376009,
2,360,370000,810,0.121985,0.127730,0.376009,
2,370,380000,831,0.122391,0.127893,0.376009,
2,380,390000,851,0.122838,0.128107,0.376009,
2,390,400000,871,0.123257,0.128286,0.376009,
2,400,410000,892,0.123668,0.128501,0.376009,
2,410,420000,916,0.124122,0.128714,0.376009,
2,420,430000,936,0.124531,0.128913,0.376009,
2,430,440000,967,0.125004,0.129115,0.376009,
2,440,450000,989,0.125429,0.129296,0.376009,
2,450,460000,1010,0.125836,0.129485,0.376009,
2,460,470000,1032,0.126231,0.129657,0.376009,
2,470,480000,1056,0.126598,0.129812,0.376009,
